event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
1982,116,Ituano,home, 71 ,Substitution, Vinícius Jaú , Léo Ceará 
1983,116,Operário,away, 76 ,Substitution, Getterson , Júnior Brandão 
1984,116,Operário,away, 76 ,Substitution, Felipe Saraiva , Giovanni Pavani 
1985,116,Ituano,home, 80 ,Yellow card, Lucas Dias ,
1986,116,Operário,away, 81 ,Yellow card, Felipe Saraiva ,
1987,116,Ituano,home, 82 ,Substitution, Lucas Nathan , Kaio Mendes 
1988,116,Operário,away, 90 ,Substitution, Tomas Bastos , Javier Reina 
1989,117,Sport,home, 15 ,Yellow card, Luciano Juba ,
1990,117,Novorizontino,away, 35 ,Yellow card, Paulinho ,
1991,117,Novorizontino,away, 45 ,Substitution, Rodolfo Filemon , Ligger 
1992,117,Novorizontino,away, 60 ,Substitution, Felipe Albuquerque , Paulinho 
1993,117,Sport,home, 61 ,Yellow card, Sander ,
1994,117,Sport,home, 62 ,Substitution, Gustavo Coutinho , Kayke 
1995,117,Sport,home, 62 ,Substitution, Facundo Labandeira , Giovanni 
1996,117,Novorizontino,away, 63 ,Yellow card, Lucas Frigeri ,
1997,117,Sport,home, 71 ,Substitution, Wanderson , Sander 
1998,117,Novorizontino,away, 74 ,Substitution, Bruno Silva , Diego Quirino 
1999,117,Novorizontino,away, 75 ,Substitution, Cléo Silva , Ronald 
2000,117,Novorizontino,away, 75 ,Substitution, Gustavo Bochecha , Ramón Martínez 
2001,117,Sport,home, 82 ,Substitution, Lucas Hernández , Fabinho 
2002,117,Sport,home, 82 ,Substitution, Denner , Luciano Juba 
2003,117,Novorizontino,away, 86 ,Yellow card, Rodolfo Filemon ,
2004,117,Sport,home, 87 ,Goal, Gustavo Coutinho , Denner 
2005,117,Novorizontino,away, 88 ,Yellow card, Bruno Silva ,
2006,117,Novorizontino,away, 94 ,Yellow card, Willean Lepo ,
2007,117,Sport,home, 97 ,Yellow card, Eduardo ,
2008,118,Cruzeiro,away, 1 ,Goal, Edu , Bruno Rodrigues 
2009,118,Sampaio Corrêa,home, 32 ,Yellow card, Rafael Vila ,
2010,118,Sampaio Corrêa,home, 47 ,Goal, Paulo Sérgio , Allan Godói 
2011,118,Cruzeiro,away, 59 ,Substitution, Matheus Bidu , Rafael Silva 
2012,118,Cruzeiro,away, 68 ,Substitution, Lincoln , Edu 
